quote_date,origin,destination,distance_miles,weight,equipment_type,commodity,mode,customer_id,lead_time_days,fuel_surcharge,quoted_price,actual_cost,won
2021-01-01,"Portland, OR","Salt Lake City, UT",770,26440,Dry Van,Chemicals,FTL,CUST-036,3,260.77,2789.29,2498.4,0
2021-01-01,"San Francisco, CA","Las Vegas, NV",570,29989,Dry Van,Automotive Parts,FTL,CUST-028,0,207.01,2858.24,2536.09,0
2021-01-01,"Atlanta, GA","Newark, NJ",870,40241,Flatbed,Machinery,FTL,CUST-035,0,308.02,4569.3,3811.61,0
2021-01-01,"Houston, TX","Memphis, TN",600,22294,Dry Van,Electronics,FTL,CUST-006,0,213.08,2564.34,2087.97,1
2021-01-01,"Nashville, TN","Charlotte, NC",400,42371,Dry Van,Automotive Parts,FTL,CUST-024,3,127.41,1738.51,1579.31,0
2021-01-01,"Dallas, TX","Los Angeles, CA",1400,5738,Flatbed,Automotive Parts,LTL,CUST-027,1,549.63,9659.64,7983.16,0
2021-01-01,"Phoenix, AZ","Kansas City, MO",1100,43237,Reefer,Automotive Parts,FTL,CUST-022,7,379.05,5179.88,4748.06,1
2021-01-01,"San Francisco, CA","Las Vegas, NV",570,35873,Reefer,Electronics,FTL,CUST-021,0,172.65,3659.04,3142.24,0
2021-01-01,"San Francisco, CA","Las Vegas, NV",570,32992,Dry Van,General Freight,FTL,CUST-037,1,219.39,2980.34,2503.73,0
2021-01-01,"Atlanta, GA","Newark, NJ",870,12994,Dry Van,Machinery,LTL,CUST-046,0,270.17,5504.84,4838.73,1
2021-01-01,"Miami, FL","Chicago, IL",1370,5806,Dry Van,Chemicals,LTL,CUST-043,0,444.7,8687.94,7951.26,1
2021-01-01,"Chicago, IL","Atlanta, GA",720,28268,Dry Van,Electronics,FTL,CUST-044,0,248.19,2982.7,2619.36,1
2021-01-01,"Atlanta, GA","Newark, NJ",870,27432,Reefer,General Freight,FTL,CUST-047,0,282.88,4185.37,4083.19,1
2021-01-02,"Denver, CO","Houston, TX",1050,7304,Flatbed,Produce,LTL,CUST-025,3,363.04,7749.36,6425.74,0
2021-01-02,"Denver, CO","Houston, TX",1050,11867,Flatbed,Food & Beverage,LTL,CUST-012,2,373.29,7342.11,6023.13,0
2021-01-02,"Portland, OR","Salt Lake City, UT",770,26803,Reefer,Automotive Parts,FTL,CUST-026,3,268.18,3690.05,3373.54,0
2021-01-02,"Newark, NJ","Miami, FL",1280,28595,Flatbed,Electronics,FTL,CUST-047,1,442.93,6733.65,5565.24,0
2021-01-02,"Los Angeles, CA","Dallas, TX",1400,29906,Reefer,Building Materials,FTL,CUST-044,0,537.46,5148.8,5030.25,1
2021-01-02,"Nashville, TN","Charlotte, NC",400,43065,Dry Van,Electronics,FTL,CUST-008,0,140.57,1742.44,1609.38,1
2021-01-03,"Atlanta, GA","Newark, NJ",870,32809,Dry Van,Produce,FTL,CUST-017,0,320.74,3328.29,3162.19,1
2021-01-03,"Houston, TX","Memphis, TN",600,38977,Reefer,General Freight,FTL,CUST-040,0,208.09,2798.0,2426.27,1
2021-01-03,"Los Angeles, CA","Chicago, IL",2000,32106,Dry Van,General Freight,FTL,CUST-044,4,734.23,6482.3,5738.49,0
2021-01-03,"Houston, TX","Memphis, TN",600,2411,Reefer,Electronics,LTL,CUST-033,0,211.65,5367.0,4604.6,0
2021-01-03,"Los Angeles, CA","Dallas, TX",1400,24226,Dry Van,Machinery,FTL,CUST-011,4,495.39,4649.52,4160.19,1
2021-01-03,"Dallas, TX","Los Angeles, CA",1400,26772,Dry Van,Chemicals,FTL,CUST-023,0,511.54,5509.59,4792.57,0
2021-01-04,"Los Angeles, CA","Chicago, IL",2000,4774,Reefer,Building Materials,LTL,CUST-010,1,678.93,14180.36,12099.19,1
2021-01-04,"Seattle, WA","Denver, CO",1300,23052,Dry Van,Food & Beverage,FTL,CUST-037,1,465.41,4461.09,4186.45,0
2021-01-04,"Houston, TX","Memphis, TN",600,38518,Dry Van,Automotive Parts,FTL,CUST-040,1,207.33,2200.72,2029.37,1
2021-01-04,"Denver, CO","Houston, TX",1050,43151,Reefer,Automotive Parts,FTL,CUST-005,2,290.04,4315.45,3929.36,0
2021-01-04,"Portland, OR","Salt Lake City, UT",770,38068,Dry Van,Building Materials,FTL,CUST-046,0,276.55,3104.2,2799.87,1
2021-01-05,"Minneapolis, MN","Detroit, MI",690,34068,Dry Van,General Freight,FTL,CUST-020,1,236.58,2790.08,2386.39,1
